x,y,parameter
204.0,323.0,1.6914024454620001E9
209.0,313.0,1.691402445469E9
216.0,300.0,1.691402445477E9
223.0,287.0,1.6914024454850001E9
229.0,276.0,1.691402445492E9
234.0,267.0,1.691402445499E9
240.0,259.0,1.691402445506E9
245.0,250.0,1.691402445516E9
253.0,241.0,1.691402445522E9
262.0,230.0,1.691402445529E9
273.0,213.0,1.691402445537E9
284.0,201.0,1.691402445545E9
293.0,193.0,1.691402445551E9
300.0,186.0,1.69140244556E9
307.0,180.0,1.6914024455670002E9
313.0,175.0,1.691402445575E9
319.0,169.0,1.691402445588E9
323.0,165.0,1.691402445596E9
327.0,163.0,1.691402445605E9
329.0,161.0,1.691402445611E9
331.0,159.0,1.691402445618E9
334.0,155.0,1.691402445627E9
337.0,153.0,1.691402445634E9
339.0,150.0,1.691402445641E9
342.0,147.0,1.691402445649E9
343.0,145.0,1.6914024456560001E9
345.0,143.0,1.691402445663E9
347.0,141.0,1.691402445671E9
349.0,139.0,1.691402445686E9
349.0,139.0,1.691402445693E9
349.0,139.0,1.6914024457020001E9
350.0,138.0,1.6914024457150002E9
350.0,137.0,1.691402445723E9
351.0,137.0,1.691402445729E9
351.0,137.0,1.691402445738E9
351.0,139.0,1.691402445819E9
351.0,139.0,1.6914024458270001E9
351.0,142.0,1.691402445835E9
351.0,143.0,1.691402445842E9
351.0,147.0,1.691402445857E9
351.0,149.0,1.691402445865E9
351.0,151.0,1.6914024458730001E9
351.0,160.0,1.691402445886E9
351.0,167.0,1.691402445894E9
351.0,176.0,1.691402445901E9
351.0,184.0,1.691402445909E9
351.0,193.0,1.6914024459160001E9
351.0,204.0,1.69140244593E9
351.0,211.0,1.691402445938E9
351.0,219.0,1.691402445945E9
351.0,227.0,1.691402445954E9
351.0,239.0,1.691402445961E9
351.0,249.0,1.691402445968E9
353.0,259.0,1.691402445976E9
353.0,265.0,1.6914024459850001E9
353.0,271.0,1.691402445991E9
355.0,277.0,1.691402445999E9
355.0,282.0,1.691402446006E9
355.0,290.0,1.691402446015E9
356.0,296.0,1.69140244602E9
357.0,309.0,1.691402446036E9
359.0,314.0,1.6914024460440001E9
360.0,319.0,1.691402446051E9
361.0,324.0,1.691402446059E9
361.0,327.0,1.691402446066E9
361.0,329.0,1.691402446075E9
362.0,331.0,1.691402446079E9
362.0,333.0,1.6914024460870001E9
362.0,337.0,1.691402446103E9
362.0,338.0,1.691402446109E9
362.0,339.0,1.691402446117E9
362.0,340.0,1.691402446129E9
362.0,341.0,1.6914024461330001E9
362.0,342.0,1.69140244614E9
362.0,343.0,1.691402446147E9
362.0,343.0,1.69140244617E9
362.0,345.0,1.691402446187E9
362.0,345.0,1.6914024461920002E9
362.0,346.0,1.691402446207E9
362.0,347.0,1.6914024462150002E9
363.0,347.0,1.691402446279E9
364.0,347.0,1.691402446288E9
365.0,347.0,1.691402446296E9
366.0,345.0,1.691402446312E9
373.0,341.0,1.6914024463270001E9
380.0,334.0,1.691402446328E9
422.0,301.0,1.691402446342E9
465.0,273.0,1.691402446356E9
512.0,250.0,1.691402446372E9
537.0,239.0,1.691402446386E9
551.0,231.0,1.691402446402E9
555.0,229.0,1.691402446407E9
559.0,227.0,1.6914024464160001E9
563.0,225.0,1.69140244643E9
564.0,225.0,1.691402446437E9
565.0,225.0,1.691402446446E9
565.0,225.0,1.6914024464520001E9
566.0,225.0,1.691402446459E9
567.0,225.0,1.691402446467E9
565.0,225.0,1.691402446566E9
559.0,223.0,1.691402446578E9
549.0,221.0,1.6914024465870001E9
534.0,217.0,1.6914024465970001E9
504.0,211.0,1.691402446608E9
465.0,206.0,1.691402446625E9
427.0,201.0,1.691402446639E9
374.0,192.0,1.691402446657E9
349.0,190.0,1.691402446661E9
328.0,187.0,1.691402446668E9
285.0,183.0,1.691402446686E9
265.0,181.0,1.69140244669E9
247.0,179.0,1.691402446698E9
234.0,178.0,1.691402446706E9
210.0,175.0,1.691402446721E9
186.0,173.0,1.691402446736E9
178.0,171.0,1.691402446742E9
167.0,171.0,1.6914024467580001E9
159.0,170.0,1.691402446774E9
154.0,169.0,1.691402446788E9
151.0,169.0,1.691402446803E9
149.0,169.0,1.691402446809E9
148.0,169.0,1.691402446825E9
147.0,169.0,1.6914024468400002E9
146.0,169.0,1.691402446854E9
145.0,169.0,1.691402446855E9
145.0,169.0,1.691402446885E9
145.0,169.0,1.691402446959E9
147.0,169.0,1.691402446968E9
152.0,172.0,1.691402446974E9
159.0,177.0,1.691402446981E9
172.0,184.0,1.691402446988E9
186.0,194.0,1.6914024469950001E9
201.0,206.0,1.691402447006E9
217.0,217.0,1.69140244701E9
238.0,229.0,1.6914024470180001E9
259.0,239.0,1.691402447025E9
279.0,247.0,1.691402447035E9
305.0,258.0,1.691402447048E9
323.0,266.0,1.691402447055E9
343.0,275.0,1.691402447062E9
361.0,283.0,1.691402447069E9
375.0,289.0,1.6914024470770001E9
387.0,296.0,1.691402447085E9
398.0,301.0,1.691402447092E9
407.0,306.0,1.6914024471000001E9
419.0,310.0,1.691402447108E9
427.0,313.0,1.691402447115E9
435.0,317.0,1.691402447125E9
443.0,320.0,1.691402447131E9
451.0,323.0,1.691402447137E9
461.0,327.0,1.691402447151E9
466.0,329.0,1.691402447159E9
471.0,330.0,1.691402447167E9
475.0,331.0,1.691402447175E9
478.0,332.0,1.691402447182E9
480.0,333.0,1.6914024471890001E9
482.0,334.0,1.691402447197E9
483.0,335.0,1.691402447205E9
485.0,335.0,1.691402447211E9
486.0,335.0,1.691402447219E9
487.0,336.0,1.691402447227E9
489.0,337.0,1.691402447241E9
489.0,337.0,1.691402447249E9
490.0,337.0,1.691402447256E9
491.0,337.0,1.6914024472710001E9
